Years,Month,Temp,p,eip,vc
1960,1,27.62,0.910105192,9.55249569707401,0.0345369774646288
1960,2,27.98,0.906904072,9.265442404006675,0.0331054813981365
1960,3,28.03,0.906442662,9.226932668329177,0.0329032691686908
1960,4,27.32,0.912610432,9.80565371024735,0.0356859357569595
1960,5,27.16,0.913886208,9.946236559139784,0.0362772088700961
1960,6,25.85,0.92275255,11.269035532994922,0.040217021077038
1960,7,25.08,0.926650752,12.224669603524232,0.0413825652908267
1960,8,24.92,0.9273387520000002,12.443946188340805,0.0414787661519794
1960,9,26.01,0.921820518,11.088911088911088,0.0398480466655108
1960,10,26.41,0.919306758,10.662824207492797,0.0387700504917273
1960,11,27.53,0.9108722620000002,9.627059843885515,0.0348865668516855
1960,12,27.6,0.9102768,9.56896551724138,0.0346149935107771
1961,1,27.43,0.9117089820000002,9.711286089238843,0.0352702532074385
1961,2,28.02,0.906535272,9.23460898502496,0.0329437658864276
1961,3,28.28,0.9040741120000002,9.039087947882736,0.0318833972296526
1961,4,27.63,0.910019142,9.544282029234738,0.034497901336929
1961,5,28.05,0.9062569500000002,9.21161825726141,0.0328221973330503
1961,6,25.47,0.924797862,11.721224920802536,0.0409280365474475
1961,7,24.63,0.928478742,12.862108922363849,0.0415068685560774
1961,8,23.98,0.930532872,13.909774436090224,0.0408164823601734
1961,9,24.76,0.927984768,12.671232876712326,0.0415183081507669
1961,10,26.46,0.918974088,10.611854684512428,0.0386212631442119
1961,11,27.24,0.913253568,9.875444839857652,0.035983662832192
1961,12,27.22,0.9134127120000002,9.893048128342247,0.036057452520172
1962,1,27.77,0.908797222,9.430756159728125,0.033946360432757
1962,2,28.27,0.904170822,9.046454767726162,0.0319244265327968
1962,3,27.54,0.910787688,9.618717504332755,0.0348479159206769
1962,4,28.18,0.9050338320000002,9.113300492610838,0.0322929014696192
1962,5,27.17,0.913807702,9.937332139659802,0.0362407541061462
1962,6,24.97,0.9271282620000002,12.374581939799333,0.0414546613142382
1962,7,25.13,0.926427142,12.157721796276014,0.0413413187457385
1962,8,24.32,0.9295448320000002,13.341346153846152,0.0413135505305635
1962,9,25.27,0.925779222,11.97411003236246,0.0411985650372718
1962,10,26.13,0.921093942,10.95755182625864,0.0395468834168713
1962,11,27.08,0.914508352,10.018050541516248,0.0365662841483174
1962,12,27.18,0.9137290320000002,9.928443649373882,0.0362042300662362
1963,1,27.41,0.9118743580000002,9.728308501314636,0.0353463474814513
1963,2,27.45,0.9115429500000004,9.694323144104803,0.0351939390064315
1963,3,27.89,0.9077242780000002,9.335576114381832,0.033467634718849
1963,4,27.71,0.909324838,9.479077711357814,0.0341837229630959
1963,5,27.28,0.912933312,9.840425531914892,0.0358353040710312
1963,6,26.46,0.918974088,10.611854684512428,0.0386212631442119
1963,7,25.57,0.924282582,11.598746081504702,0.0407649535704709
1963,8,25.39,0.925198278,11.82108626198083,0.0410453553058943
1963,9,26.23,0.920470422,10.850439882697946,0.0392808972380098
1963,10,26.4,0.9193728000000002,10.673076923076923,0.0387994602315017
1963,11,27.11,0.914276278,9.990999099909992,0.0364584234959639
1963,12,27.47,0.911376262,9.67741935483871,0.0351174090942496
1964,1,27.44,0.911626048,9.702797202797202,0.035232123333701
1964,2,28.4,0.9029008000000002,8.951612903225808,0.0313898992151956
1964,3,28.09,0.9058835580000002,9.181141439205955,0.0326597519625873
1964,4,27.39,0.912039078,9.745390693590869,0.0354222175862582
1964,5,26.93,0.9156465820000002,10.155535224153706,0.0370952143736693
1964,6,25.69,0.923642598,11.455108359133126,0.0405460955491079
1964,7,24.19,0.929944998,13.553113553113551,0.0411597398392192
1964,8,24.06,0.9303174480000004,13.771712158808937,0.0409612663386111
1964,9,25.03,0.926870262,12.29235880398671,0.0414185487535145
1964,10,25.67,0.923750902,11.478800413650465,0.0405842784870406
1964,11,26.68,0.917461632,10.393258426966293,0.0379340170572578
1964,12,26.87,0.916091542,10.211591536338544,0.0373016447723092
1965,1,27.09,0.914431158,10.009017132551849,0.0365304042944644
1965,2,27.28,0.912933312,9.840425531914892,0.0358353040710312
1965,3,28.25,0.90436375,9.06122448979592,0.0320064352988629
1965,4,27.3,0.9127722,9.82300884955752,0.0357607438989286
1965,5,27.22,0.9134127120000002,9.893048128342247,0.036057452520172
1965,6,25.61,0.924071878,11.550468262226849,0.0406947544237843
1965,7,24.41,0.929251558,13.198573127229489,0.0413944560665236
1965,8,24.5,0.928945,13.058823529411764,0.0414548857913694
1965,9,25.27,0.925779222,11.97411003236246,0.0411985650372718
1965,10,26.38,0.9195043920000002,10.69364161849711,0.0388579265943703
1965,11,27.48,0.9112926720000002,9.668989547038327,0.0350790645566805
1965,12,27.24,0.913253568,9.875444839857652,0.035983662832192
1966,1,27.38,0.9121211920000002,9.753954305799647,0.0354600672423192
1966,2,28.05,0.9062569500000002,9.21161825726141,0.0328221973330503
1966,3,28.02,0.906535272,9.23460898502496,0.0329437658864276
1966,4,27.43,0.9117089820000002,9.711286089238843,0.0352702532074385
1966,5,27.6,0.9102768,9.56896551724138,0.0346149935107771
1966,6,26.56,0.918296448,10.511363636363638,0.0383152625949176
1966,7,25.95,0.9221749500000002,11.155778894472364,0.0399909024547209
1966,8,25.05,0.92678295,12.265193370165743,0.0414047924268929
1966,9,25.47,0.924797862,11.721224920802536,0.0409280365474475
1966,10,26.85,0.91623855,10.230414746543778,0.0373697647788033
1966,11,27.41,0.9118743580000002,9.728308501314636,0.0353463474814513
1966,12,27.85,0.9080845500000002,9.367088607594935,0.0336277678635384
