Years,Month,Temp,p,eip,vc
1960,1,27.33,0.9125293020000004,9.796999117387468,0.0356484400689257
1960,2,29.44,0.891742848,8.258928571428571,0.0271033790331613
1960,3,31.17,0.8692525020000003,7.317073170731707,0.0204791188336406
1960,4,31.36,0.8664833280000003,7.2265625,0.0198164775505088
1960,5,30.92,0.8728059520000001,7.439678284182305,0.0213729066466339
1960,6,27.82,0.9083530320000002,9.390862944162436,0.0337475096668006
1960,7,26.66,0.917602408,10.412757973733584,0.0379985784521213
1960,8,26.65,0.91767255,10.422535211267608,0.0380307089909511
1960,9,26.49,0.918772518,10.581506196377504,0.0385306239516941
1960,10,28.25,0.90436375,9.06122448979592,0.0320064352988629
1960,11,28.05,0.9062569500000002,9.21161825726141,0.0328221973330503
1960,12,27.71,0.909324838,9.479077711357814,0.0341837229630959
1961,1,27.39,0.912039078,9.745390693590869,0.0354222175862582
1961,2,28.24,0.904459968,9.068627450980394,0.0320474139821832
1961,3,31.02,0.8713968720000002,7.390146471371505,0.0210124533948505
1961,4,31.41,0.8657447580000002,7.203114860480207,0.0196445345693607
1961,5,30.98,0.8719624720000002,7.409879839786382,0.0211561692842163
1961,6,27.67,0.909673302,9.511568123393316,0.0343411543524604
1961,7,26.38,0.9195043920000002,10.69364161849711,0.0388579265943703
1961,8,25.84,0.922809408,11.28048780487805,0.0402387875219381
1961,9,25.9,0.9224658,11.212121212121216,0.040105865347759
1961,10,28.43,0.902603782,8.930008045052293,0.0312662391367701
1961,11,27.97,0.9069958620000002,9.273182957393484,0.0331458402711972
1961,12,26.23,0.920470422,10.850439882697946,0.0392808972380098
1962,1,26.31,0.919959798,10.76624636275461,0.0390587800268254
1962,2,29.13,0.8952543420000002,8.453922315308455,0.0283731528772859
1962,3,31.95,0.8575069500000001,6.959247648902822,0.0178536467435252
1962,4,31.17,0.8692525020000003,7.317073170731707,0.0204791188336406
1962,5,30.02,0.8847496720000001,7.917261055634808,0.0247795047171371
1962,6,27.24,0.913253568,9.875444839857652,0.035983662832192
1962,7,26.65,0.91767255,10.422535211267608,0.0380307089909511
1962,8,25.86,0.922695528,11.257606490872211,0.0401950987802008
1962,9,26.27,0.9202164220000002,10.808179162609544,0.0391708493299869
1962,10,27.53,0.9108722620000002,9.627059843885515,0.0348865668516855
1962,11,28.64,0.9004833280000001,8.781645569620252,0.0303985118525839
1962,12,26.84,0.9163118080000002,10.239852398523986,0.0374036926138293
1963,1,27.36,0.9122849280000002,9.77112676056338,0.03553559308161
1963,2,30.71,0.8757116380000002,7.545887151597552,0.02214227816428
1963,3,30.42,0.8796053520000002,7.69764216366158,0.0232312398618716
1963,4,31.17,0.8692525020000003,7.317073170731707,0.0204791188336406
