Years,Month,Temp,p,eip,vc
1960,1,24.75,0.92802375,12.685714285714283,0.0415188366803757
1960,2,27.37,0.912203142,9.762532981530342,0.0354978592533256
1960,3,26.56,0.918296448,10.511363636363638,0.0383152625949176
1960,4,26.37,0.919569942,10.703953712632591,0.038886981866
1960,5,26.75,0.91696375,10.325581395348838,0.037704966156968
1960,6,25.32,0.925540032,11.909871244635193,0.0411381101903911
1960,7,24.59,0.928625158,12.922002328288707,0.0414952542192167
1960,8,23.95,0.9306109500000002,13.962264150943398,0.0407576824056428
1960,9,24.88,0.927504192,12.500000000000002,0.0414940696586375
1960,10,25.18,0.9261994320000002,12.091503267973856,0.0412948953263174
1960,11,26.29,0.920088438,10.78717201166181,0.0391150646050562
1960,12,25.46,0.924848488,11.733615221987314,0.0409433496881547
1961,1,25.99,0.9219393180000002,11.111111111111112,0.039896250727586
1961,2,27.14,0.914042728,9.964093357271096,0.0363499082828758
1961,3,28.06,0.9061638480000004,9.20398009950249,0.032781623067762
1961,4,26.84,0.9163118080000002,10.239852398523986,0.0374036926138293
1961,5,26.7,0.9173202,10.373831775700936,0.03786905952411
1961,6,25.05,0.92678295,12.265193370165743,0.0414047924268929
1961,7,23.97,0.9305590620000002,13.927227101631118,0.0407971567087497
1961,8,23.17,0.932122902,15.481171548117151,0.0383355548647251
1961,9,24.23,0.929824822,13.487241798298903,0.0412117730554573
1961,10,25.47,0.924797862,11.721224920802536,0.0409280365474475
1961,11,25.69,0.923642598,11.455108359133126,0.0405460955491079
1961,12,25.24,0.925920768,12.012987012987017,0.041232476073398
1962,1,26.01,0.921820518,11.088911088911088,0.0398480466655108
1962,2,27.03,0.9148918620000002,10.063463281958294,0.0367445545630056
1962,3,26.64,0.917742528,10.432330827067668,0.0380627385645449
1962,4,26.46,0.918974088,10.611854684512428,0.0386212631442119
1962,5,25.99,0.9219393180000002,11.111111111111112,0.039896250727586
1962,6,24.31,0.929576598,13.357400722021662,0.0413032796934503
1962,7,24.7,0.9282162000000002,12.758620689655173,0.0415179800878626
1962,8,23.63,0.931351942,14.547837483617302,0.0399745055736093
1962,9,24.5,0.928945,13.058823529411764,0.0414548857913694
1962,10,25.48,0.924747072,11.708860759493673,0.0409125403221077
1962,11,25.81,0.9229789980000002,11.314984709480123,0.040303144600166
1962,12,25.43,0.924999382,11.770943796394484,0.0409881834562504
1963,1,25.04,0.926826688,12.278761061946904,0.0414117772222397
1963,2,26.65,0.91767255,10.422535211267608,0.0380307089909511
1963,3,26.55,0.9183649500000002,10.52132701421801,0.0383463542514544
1963,4,26.82,0.916457832,10.258780036968576,0.0374712808506399
1963,5,26.36,0.919635328,10.714285714285715,0.0389159176284009
1963,6,25.25,0.9258737500000002,12.0,0.04122137086134
1963,7,25.0,0.9270000000000002,12.333333333333334,0.0414375769530642
1963,8,25.02,0.926913672,12.3059866962306,0.0414251063391052
1963,9,25.65,0.9238585500000002,11.502590673575131,0.0406217864398294
1963,10,25.56,0.924334848,11.610878661087868,0.0407820653450753
1963,11,25.94,0.922233448,11.167002012072434,0.0400141953355038
1963,12,26.04,0.921641088,11.05577689243028,0.0397746587429022
1964,1,25.28,0.9257317120000002,11.961206896551722,0.0411868658329537
1964,2,27.01,0.915044118,10.081743869209808,0.0368153249384111
1964,3,27.27,0.913013622,9.849157054125998,0.0358724897906671
1964,4,26.91,0.915795558,10.174152153987167,0.0371643646662019
1964,5,26.12,0.921155392,10.968379446640316,0.0395727452987948
1964,6,25.11,0.9265170780000002,12.184412733260157,0.0413584434314498
1964,7,23.75,0.93109375,14.32258064516129,0.0403019394951701
1964,8,23.48,0.931641472,14.839572192513367,0.0395073547164508
1964,9,24.12,0.930148992,13.669950738916254,0.0410584868094133
1964,10,24.75,0.92802375,12.685714285714283,0.0415188366803757
1964,11,25.28,0.9257317120000002,11.961206896551722,0.0411868658329537
1964,12,24.62,0.928515592,12.877030162412993,0.0415043263931244
1965,1,25.29,0.925684038,11.94833153928956,0.0411749700401253
1965,2,26.24,0.9204071680000002,10.839843750000002,0.0392535771750251
1965,3,26.93,0.9156465820000002,10.155535224153706,0.0370952143736693
1965,4,26.8,0.9166032000000002,10.277777777777777,0.0375385083643337
1965,5,26.43,0.919174182,10.642377756471715,0.038710881266328
1965,6,25.24,0.925920768,12.012987012987017,0.041232476073398
1965,7,24.34,0.929480808,13.309352517985612,0.0413333196408922
1965,8,23.91,0.930712758,14.032869785082177,0.0406754305994486
1965,9,24.66,0.9283672080000002,12.817551963048498,0.041513057909262
1965,10,25.79,0.923091238,11.338100102145049,0.0403452569550091
1965,11,26.51,0.918637318,10.56137012369172,0.0384696394531637
1965,12,24.92,0.9273387520000002,12.443946188340805,0.0414787661519794
1966,1,25.83,0.9228661020000002,11.291963377416074,0.0402603974005769
1966,2,26.73,0.917106822,10.344827586206897,0.0377708916668464
1966,3,27.17,0.913807702,9.937332139659802,0.0362407541061462
1966,4,27.05,0.9147389500000002,10.04524886877828,0.0366734745173063
1966,5,26.69,0.917390998,10.383536014967255,0.037901587487267
1966,6,25.16,0.926291008,12.117903930131003,0.0413140803742189
1966,7,25.04,0.926826688,12.278761061946904,0.0414117772222397
1966,8,23.98,0.930532872,13.909774436090224,0.0408164823601734
1966,9,24.64,0.928441728,12.84722222222222,0.0415091707874455
1966,10,25.65,0.9238585500000002,11.502590673575131,0.0406217864398294
1966,11,26.01,0.921820518,11.088911088911088,0.0398480466655108
1966,12,25.83,0.9228661020000002,11.291963377416074,0.0402603974005769
1967,1,24.75,0.92802375,12.685714285714283,0.0415188366803757
